model,family,dataset_id,seed,lambda,status,error_message,n_train,n_flipped,noisy_train_accuracy,clean_train_accuracy,clean_test_accuracy,clean_test_auc,train_test_gap,noisy_label_fit_rate,clean_label_recovery_rate,confidence_on_flipped_samples
tabpfn,icl,digits,1,0.05,ok,,1257,63,0.9522673031026253,0.9976133651551312,0.9888888888888889,0.9999574883366144,-0.03662158578626362,0.047619047619047616,0.9523809523809523,0.14088111970987585
tabpfn,icl,digits,1,0.1,ok,,1257,126,0.9005568814638027,0.9960222752585521,0.9851851851851852,0.999881266033254,-0.08462830372138241,0.023809523809523808,0.9761904761904762,0.0631363950448022
tabpfn,icl,digits,1,0.2,ok,,1257,251,0.8027048528241846,0.9872712808273667,0.9833333333333333,0.9998231578014684,-0.1806284805091487,0.027888446215139442,0.952191235059761,0.06217701603617683
tabpfn,icl,digits,1,0.3,ok,,1257,377,0.7008750994431185,0.9880668257756563,0.9796296296296296,0.9995787351698995,-0.2787545301865111,0.013262599469496022,0.9708222811671088,0.06256862359482113
tabpfn,icl,digits,1,0.4,ok,,1257,503,0.60381861575179,0.984884645982498,0.9722222222222222,0.9996538920147545,-0.36840360647043224,0.019880715705765408,0.9721669980119284,0.07034930509420678
logreg,linear,synthetic_mixed,1,0.0,ok,,420,0,0.9714285714285714,0.9714285714285714,0.9555555555555556,0.9961574074074074,0.015873015873015817,,,
logreg,linear,synthetic_mixed,1,0.05,ok,,420,21,0.9095238095238095,0.9357142857142857,0.9222222222222223,0.9809722222222224,-0.012698412698412764,0.23809523809523808,0.7619047619047619,0.24664493005426433
logreg,linear,synthetic_mixed,1,0.1,ok,,420,42,0.8285714285714286,0.9023809523809524,0.8333333333333334,0.9512962962962964,-0.004761904761904745,0.11904761904761904,0.8571428571428571,0.20998830146956976
logreg,linear,synthetic_mixed,1,0.2,ok,,420,84,0.7214285714285714,0.8523809523809524,0.8277777777777777,0.9328240740740741,-0.1063492063492063,0.13095238095238096,0.7857142857142857,0.24341454854773636
logreg,linear,synthetic_mixed,1,0.3,ok,,420,126,0.5976190476190476,0.7023809523809523,0.6944444444444444,0.8633333333333333,-0.09682539682539681,0.24603174603174602,0.5952380952380952,0.290850952301906
logreg,linear,synthetic_mixed,1,0.4,ok,,420,168,0.55,0.6547619047619048,0.6388888888888888,0.8063888888888889,-0.0888888888888888,0.2857142857142857,0.5476190476190477,0.3059657156735768
hist_gbdt,gbdt,synthetic_mixed,1,0.0,ok,,420,0,1.0,1.0,0.8722222222222222,0.9787962962962963,0.12777777777777777,,,
hist_gbdt,gbdt,synthetic_mixed,1,0.05,ok,,420,21,1.0,0.95,0.8555555555555555,0.9641203703703703,0.1444444444444445,1.0,0.0,0.9692745166100717
hist_gbdt,gbdt,synthetic_mixed,1,0.1,ok,,420,42,1.0,0.9,0.7611111111111111,0.9341203703703704,0.23888888888888893,1.0,0.0,0.953139215290285
hist_gbdt,gbdt,synthetic_mixed,1,0.2,ok,,420,84,1.0,0.8,0.7555555555555555,0.9104166666666668,0.24444444444444446,1.0,0.0,0.9087890828313127
hist_gbdt,gbdt,synthetic_mixed,1,0.3,ok,,420,126,1.0,0.7,0.75,0.89,0.25,1.0,0.0,0.8784851330220792
hist_gbdt,gbdt,synthetic_mixed,1,0.4,ok,,420,168,1.0,0.6,0.6277777777777778,0.7907407407407406,0.37222222222222223,1.0,0.0,0.8659533147952404
xgboost,gbdt,synthetic_mixed,1,0.0,ok,,420,0,1.0,1.0,0.9,0.9766203703703704,0.09999999999999998,,,
xgboost,gbdt,synthetic_mixed,1,0.05,ok,,420,21,1.0,0.95,0.8611111111111112,0.9725462962962963,0.13888888888888884,1.0,0.0,0.9609391150020418
xgboost,gbdt,synthetic_mixed,1,0.1,ok,,420,42,1.0,0.9,0.8055555555555556,0.9381018518518518,0.19444444444444442,1.0,0.0,0.9678928681782314
xgboost,gbdt,synthetic_mixed,1,0.2,ok,,420,84,1.0,0.8,0.7833333333333333,0.9176851851851852,0.21666666666666667,1.0,0.0,0.968857270621118
xgboost,gbdt,synthetic_mixed,1,0.3,ok,,420,126,1.0,0.7,0.6944444444444444,0.8714351851851853,0.3055555555555556,1.0,0.0,0.9695722716195243
xgboost,gbdt,synthetic_mixed,1,0.4,ok,,420,168,1.0,0.6,0.6055555555555555,0.7676388888888889,0.3944444444444445,1.0,0.0,0.9722912279622895
catboost,gbdt,synthetic_mixed,1,0.0,ok,,420,0,1.0,1.0,0.8888888888888888,0.9854166666666666,0.11111111111111116,,,
catboost,gbdt,synthetic_mixed,1,0.05,ok,,420,21,1.0,0.95,0.8666666666666667,0.9734722222222222,0.1333333333333333,1.0,0.0,0.827654927837485
catboost,gbdt,synthetic_mixed,1,0.1,ok,,420,42,1.0,0.9,0.8166666666666667,0.950787037037037,0.18333333333333335,1.0,0.0,0.8348797414898125
catboost,gbdt,synthetic_mixed,1,0.2,ok,,420,84,1.0,0.8,0.7666666666666667,0.9283333333333333,0.23333333333333328,1.0,0.0,0.8142553533197949
catboost,gbdt,synthetic_mixed,1,0.3,ok,,420,126,1.0,0.7,0.7666666666666667,0.9168518518518519,0.23333333333333328,1.0,0.0,0.8216698025471465
catboost,gbdt,synthetic_mixed,1,0.4,ok,,420,168,1.0,0.6,0.6611111111111111,0.8355092592592591,0.3388888888888889,1.0,0.0,0.8113663041034452
