model,dataset_id,shift_axis,base_seed,rho,n_lambda,n_failed,max_lambda
gbdt_ensemble,credit-approval,label_noise,2025,0.05,6,4,0.4
gbdt_ensemble,credit-g,covariate_shift,42,0.4,6,0,0.4
gbdt_ensemble,credit-g,covariate_shift,1337,0.4,6,0,0.4
gbdt_ensemble,credit-g,covariate_shift,2025,0.2,6,2,0.4
gbdt_ensemble,credit-g,label_noise,42,0.1,6,3,0.4
gbdt_ensemble,credit-g,label_noise,1337,0.05,6,4,0.4
gbdt_ensemble,credit-g,label_noise,2025,0.1,6,3,0.4
gbdt_ensemble,diabetes,covariate_shift,42,0.05,6,4,0.4
gbdt_ensemble,diabetes,covariate_shift,1337,0.05,6,4,0.4
gbdt_ensemble,diabetes,covariate_shift,2025,0.0,6,5,0.4
gbdt_ensemble,diabetes,label_noise,42,0.1,6,3,0.4
gbdt_ensemble,diabetes,label_noise,1337,0.0,6,5,0.4
gbdt_ensemble,diabetes,label_noise,2025,0.05,6,4,0.4
gbdt_ensemble,dna,covariate_shift,42,0.4,6,0,0.4
gbdt_ensemble,dna,covariate_shift,1337,0.4,6,0,0.4
gbdt_ensemble,dna,covariate_shift,2025,0.4,6,0,0.4
gbdt_ensemble,dna,label_noise,42,0.05,6,4,0.4
gbdt_ensemble,dna,label_noise,1337,0.05,6,4,0.4
gbdt_ensemble,dna,label_noise,2025,0.05,6,4,0.4
gbdt_ensemble,dresses-sales,covariate_shift,42,0.0,6,6,0.4
gbdt_ensemble,dresses-sales,covariate_shift,1337,0.0,6,6,0.4
gbdt_ensemble,dresses-sales,covariate_shift,2025,0.0,6,6,0.4
gbdt_ensemble,dresses-sales,label_noise,42,0.0,6,6,0.4
gbdt_ensemble,dresses-sales,label_noise,1337,0.0,6,6,0.4
gbdt_ensemble,dresses-sales,label_noise,2025,0.0,6,6,0.4
gbdt_ensemble,eucalyptus,covariate_shift,42,0.0,6,6,0.4
gbdt_ensemble,eucalyptus,covariate_shift,1337,0.05,6,4,0.4
gbdt_ensemble,eucalyptus,covariate_shift,2025,0.0,6,5,0.4
gbdt_ensemble,eucalyptus,label_noise,42,0.0,6,5,0.4
gbdt_ensemble,eucalyptus,label_noise,1337,0.05,6,4,0.4
gbdt_ensemble,eucalyptus,label_noise,2025,0.1,6,3,0.4
gbdt_ensemble,first-order-theorem-proving,covariate_shift,42,0.0,6,5,0.4
gbdt_ensemble,first-order-theorem-proving,covariate_shift,1337,0.0,6,5,0.4
gbdt_ensemble,first-order-theorem-proving,covariate_shift,2025,0.0,6,5,0.4
gbdt_ensemble,first-order-theorem-proving,label_noise,42,0.1,6,3,0.4
gbdt_ensemble,first-order-theorem-proving,label_noise,1337,0.1,6,3,0.4
gbdt_ensemble,first-order-theorem-proving,label_noise,2025,0.1,6,3,0.4
gbdt_ensemble,ilpd,covariate_shift,42,0.0,6,6,0.4
gbdt_ensemble,ilpd,covariate_shift,1337,0.0,6,5,0.4
gbdt_ensemble,ilpd,covariate_shift,2025,0.0,6,5,0.4
gbdt_ensemble,ilpd,label_noise,42,0.0,6,6,0.4
gbdt_ensemble,ilpd,label_noise,1337,0.05,6,4,0.4
gbdt_ensemble,ilpd,label_noise,2025,0.05,6,4,0.4
gbdt_ensemble,kc1,covariate_shift,42,0.0,6,5,0.4
gbdt_ensemble,kc1,covariate_shift,1337,0.0,6,5,0.4
gbdt_ensemble,kc1,covariate_shift,2025,0.0,6,5,0.4
gbdt_ensemble,kc1,label_noise,42,0.05,6,4,0.4
gbdt_ensemble,kc1,label_noise,1337,0.1,6,3,0.4
gbdt_ensemble,kc1,label_noise,2025,0.1,6,3,0.4
gbdt_ensemble,kr-vs-kp,covariate_shift,42,0.4,6,0,0.4
gbdt_ensemble,kr-vs-kp,covariate_shift,1337,0.4,6,0,0.4
gbdt_ensemble,kr-vs-kp,covariate_shift,2025,0.4,6,0,0.4
gbdt_ensemble,kr-vs-kp,label_noise,42,0.0,6,5,0.4
gbdt_ensemble,kr-vs-kp,label_noise,1337,0.0,6,5,0.4
gbdt_ensemble,kr-vs-kp,label_noise,2025,0.0,6,5,0.4
